Timestamp,Device_Type,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,Flags,Payload,Activity,Label
2024-05-26 21:25:24.178477,Smart Lock,75.191.213.34,91.126.134.188,64927,5866,TCP,776,FIN,178,sending data,1
2024-05-27 22:04:45.178477,Smart Lock,159.86.87.106,64.202.179.201,22858,61498,UDP,1341,RST,1238,sending data,0
2024-05-27 23:15:47.178477,Smart Lock,238.245.183.93,81.57.157.140,21042,4709,TCP,1428,ACK,1273,receiving data,1
2024-05-27 06:07:05.178477,Smart Lock,70.142.34.152,183.38.176.222,3799,31702,TCP,227,RST,196,sending data,1
2024-05-26 21:31:29.178477,Smart Lock,52.57.168.121,93.38.226.123,23985,29578,TCP,531,,1160,receiving data,1
2024-05-27 13:15:22.179480,Smart Lock,187.107.191.254,117.45.180.168,2827,39385,TCP,1303,SYN,1149,idle,1
2024-05-27 22:15:39.179480,Smart Lock,92.129.59.184,172.198.10.129,59174,33250,TCP,236,,1239,receiving data,0
2024-05-26 22:31:50.179480,Smart Lock,104.55.172.138,208.95.48.37,14452,32565,TCP,269,RST,202,receiving data,0
2024-05-27 17:58:05.179480,Smart Lock,145.147.137.55,92.53.207.71,44944,49648,UDP,314,FIN,45,idle,1
2024-05-27 23:08:53.179480,Smart Lock,191.138.230.2,212.223.140.195,48337,45174,UDP,1164,RST,674,receiving data,1
2024-05-27 02:55:50.179480,Smart Lock,112.205.208.171,208.80.114.97,21249,17171,TCP,1302,RST,710,receiving data,0
2024-05-27 11:09:28.179480,Smart Lock,249.39.49.166,57.90.246.188,7610,23240,UDP,675,FIN,913,sending data,0
2024-05-27 17:07:40.179480,Smart Lock,245.64.156.153,1.42.250.145,16324,54172,UDP,746,,1238,sending data,0
2024-05-27 23:56:12.179480,Smart Lock,155.203.29.87,226.214.222.127,39111,31185,TCP,783,FIN,1248,sending data,1
2024-05-27 17:40:44.179480,Smart Lock,79.52.198.199,130.224.99.228,8351,56071,UDP,453,FIN,296,receiving data,0
2024-05-27 11:06:31.179480,Smart Lock,247.44.217.235,204.215.83.203,25920,51107,TCP,134,RST,1202,sending data,1
2024-05-27 19:15:07.179480,Smart Lock,147.156.134.117,25.65.237.65,54255,25492,TCP,942,FIN,1358,idle,0
2024-05-27 03:38:37.179480,Smart Lock,121.194.50.20,170.120.70.186,63704,2426,UDP,175,ACK,1246,receiving data,0
2024-05-27 03:35:50.179480,Smart Lock,239.240.24.59,237.89.41.70,31769,51096,UDP,1148,ACK,1243,sending data,0
2024-05-28 00:51:53.179480,Smart Lock,235.139.87.19,245.33.241.72,38183,24795,UDP,938,ACK,285,sending data,0
2024-05-26 22:30:02.179480,Smart Lock,104.216.223.114,139.205.228.215,33262,40573,TCP,137,FIN,957,receiving data,1
2024-05-26 22:06:21.179480,Smart Lock,4.122.170.89,173.179.153.193,31914,2891,TCP,1452,RST,1238,idle,1
2024-05-27 04:50:37.179480,Smart Lock,243.44.203.95,150.63.1.4,17129,20865,TCP,1005,FIN,1303,idle,1
2024-05-27 18:10:20.179480,Smart Lock,183.39.100.194,55.35.197.48,48848,51993,UDP,1444,,182,idle,1
