X,Y,Z,Label
396046.504,3988349.134,1880.638,1880.638
396044.684,3988344.134,1881.467,1881.467
396043.311,3988336.747,1881.693,1881.693
396040.637,3988331.660,1882.023,1882.023
396037.126,3988322.134,1882.731,1882.731
396052.935,3988354.372,1883.414,1883.414
396059.457,3988375.908,1883.757,1883.757
396047.864,3988340.188,1883.783,1883.783
396049.878,3988344.778,1883.943,1883.943
396057.275,3988359.548,1884.303,1884.303
396043.096,3988326.921,1884.573,1884.573
396048.059,3988335.113,1885.676,1885.676
396060.277,3988363.632,1886.057,1886.057
396054.664,3988347.715,1886.093,1886.093
396059.727,3988354.858,1887.388,1887.388
396049.658,3988329.043,1887.973,1887.973
396064.203,3988369.440,1888.083,1888.083
396055.140,3988342.553,1888.128,1888.128
396066.168,3988374.681,1888.176,1888.176
396053.598,3988332.189,1888.229,1888.229
396054.109,3988337.519,1888.367,1888.367
396043.483,3988316.445,1888.403,1888.403
396039.184,3988310.539,1888.408,1888.408
396039.825,3988301.097,1889.363,1889.363
396047.277,3988319.896,1889.638,1889.638
396040.851,3988294.512,1890.274,1890.274
396051.837,3988324.388,1890.626,1890.626
396061.445,3988345.791,1890.857,1890.857
396045.131,3988311.509,1890.901,1890.901
396068.417,3988366.580,1891.243,1891.243
396060.040,3988340.576,1891.327,1891.327
396044.072,3988298.446,1891.588,1891.588
396067.448,3988356.933,1891.594,1891.594
396071.815,3988375.786,1892.032,1892.032
396073.770,3988389.062,1892.087,1892.087
396043.492,3988304.873,1892.210,1892.210
396058.632,3988331.213,1892.366,1892.366
396069.429,3988361.645,1892.410,1892.410
396061.280,3988335.692,1893.005,1893.005
396067.236,3988350.777,1893.185,1893.185
396040.213,3988288.013,1893.256,1893.256
396057.052,3988326.396,1893.272,1893.272
396044.918,3988291.261,1893.541,1893.541
396052.013,3988316.095,1893.570,1893.570
396023.107,3988261.823,1893.611,1893.611
396023.809,3988253.740,1893.972,1893.972
396030.602,3988028.327,1894.160,1894.160
396079.373,3988405.115,1894.230,1894.230
396073.095,3988370.373,1894.309,1894.309
396066.244,3988343.032,1894.634,1894.634
396048.105,3988295.238,1894.716,1894.716
396024.499,3988102.973,1894.898,1894.898
396073.466,3988365.312,1895.165,1895.165
396049.816,3988308.264,1896.137,1896.137
396057.211,3988321.019,1896.206,1896.206
396080.454,3988423.119,1896.319,1896.319
396007.936,3988206.260,1896.472,1896.472
396067.789,3988338.272,1896.579,1896.579
